"Name","Description","Count"
"cmp3","",27
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Interpretation Number","Position(m)","X(m)","Y(m)","Z(m)","Depth(m)","Time(ns)","Amplitude(mV)","Velocity(m/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Elevation(m)","GPS-n/a","Comment"
"Point","cmp3","Lineset\line15",2,4.539,"N/A","N/A","N/A","N/A",213.74,-7.152,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,5.573,"N/A","N/A","N/A","N/A",214.35,-4.500,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,6.724,"N/A","N/A","N/A","N/A",214.96,-0.308,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,8.168,"N/A","N/A","N/A","N/A",214.96,8.899,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,9.202,"N/A","N/A","N/A","N/A",218.63,-20.302,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,10.587,"N/A","N/A","N/A","N/A",218.63,0.151,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,11.894,"N/A","N/A","N/A","N/A",223.51,-7.074,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,13.026,"N/A","N/A","N/A","N/A",224.73,-13.167,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,14.313,"N/A","N/A","N/A","N/A",224.73,-3.722,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,15.620,"N/A","N/A","N/A","N/A",229.62,-0.478,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,17.298,"N/A","N/A","N/A","N/A",233.28,1.454,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,18.761,"N/A","N/A","N/A","N/A",239.39,7.514,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,20.166,"N/A","N/A","N/A","N/A",244.27,-7.651,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,21.200,"N/A","N/A","N/A","N/A",248.55,-3.114,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,22.429,"N/A","N/A","N/A","N/A",252.21,0.464,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,24.029,"N/A","N/A","N/A","N/A",259.54,3.284,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,25.414,"N/A","N/A","N/A","N/A",265.04,-7.039,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,26.916,"N/A","N/A","N/A","N/A",268.70,9.174,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,28.419,"N/A","N/A","N/A","N/A",275.42,0.235,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,30.077,"N/A","N/A","N/A","N/A",281.53,3.603,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,31.774,"N/A","N/A","N/A","N/A",288.24,10.814,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,33.062,"N/A","N/A","N/A","N/A",294.96,8.292,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,34.447,"N/A","N/A","N/A","N/A",301.68,-6.000,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,35.598,"N/A","N/A","N/A","N/A",307.18,7.154,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,36.866,"N/A","N/A","N/A","N/A",311.45,3.050,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,38.134,"N/A","N/A","N/A","N/A",317.56,-3.499,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3","Lineset\line15",2,39.344,"N/A","N/A","N/A","N/A",323.05,-0.352,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
