"Name","Description","Count"
"cmp3_air","",25
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Interpretation Number","Position(m)","X(m)","Y(m)","Z(m)","Depth(m)","Time(ns)","Amplitude(mV)","Velocity(m/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Elevation(m)","GPS-n/a","Comment"
"Point","cmp3_air","Lineset\line15",3,5.983,"N/A","N/A","N/A","N/A",5.50,2.721,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,7.602,"N/A","N/A","N/A","N/A",11.60,1.274,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,9.397,"N/A","N/A","N/A","N/A",18.93,3.832,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,11.211,"N/A","N/A","N/A","N/A",22.60,0.986,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,13.084,"N/A","N/A","N/A","N/A",29.92,2.406,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,14.391,"N/A","N/A","N/A","N/A",33.59,1.903,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,16.128,"N/A","N/A","N/A","N/A",40.31,1.090,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,17.610,"N/A","N/A","N/A","N/A",47.63,0.855,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,18.996,"N/A","N/A","N/A","N/A",51.30,0.807,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,20.420,"N/A","N/A","N/A","N/A",55.57,16.155,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,21.941,"N/A","N/A","N/A","N/A",62.90,10.743,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,23.522,"N/A","N/A","N/A","N/A",69.01,7.903,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,24.907,"N/A","N/A","N/A","N/A",72.06,8.599,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,26.390,"N/A","N/A","N/A","N/A",77.56,23.119,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,27.463,"N/A","N/A","N/A","N/A",81.83,24.363,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,29.199,"N/A","N/A","N/A","N/A",86.72,4.500,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,30.643,"N/A","N/A","N/A","N/A",92.21,3.088,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,31.930,"N/A","N/A","N/A","N/A",94.05,2.275,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,33.179,"N/A","N/A","N/A","N/A",97.71,2.428,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,33.998,"N/A","N/A","N/A","N/A",102.60,2.107,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,35.227,"N/A","N/A","N/A","N/A",105.65,2.680,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,36.515,"N/A","N/A","N/A","N/A",108.70,0.401,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,37.647,"N/A","N/A","N/A","N/A",114.20,1.030,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,38.544,"N/A","N/A","N/A","N/A",117.25,0.967,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_air","Lineset\line15",3,39.246,"N/A","N/A","N/A","N/A",119.69,6.809,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
