"Name","Description","Count"
"cmp3_ref","",30
,,,,,,,,,,,,,
"Tool","Interpretation","GPR Line","Interpretation Number","Position(m)","X(m)","Y(m)","Z(m)","Depth(m)","Time(ns)","Amplitude(mV)","Velocity(m/ns)","GPS-n/a","GPS-n/a","GPS-n/a","GPS-n/a","Elevation(m)","GPS-n/a","Comment"
"Point","cmp3_ref","Lineset\line15",4,9.611,"N/A","N/A","N/A","N/A",56.79,5.715,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,10.275,"N/A","N/A","N/A","N/A",61.68,-35.206,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,11.309,"N/A","N/A","N/A","N/A",67.18,4.831,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,12.265,"N/A","N/A","N/A","N/A",73.89,-7.059,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,13.357,"N/A","N/A","N/A","N/A",82.44,-45.955,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,14.528,"N/A","N/A","N/A","N/A",87.94,4.764,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,15.542,"N/A","N/A","N/A","N/A",93.44,9.751,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,16.635,"N/A","N/A","N/A","N/A",101.37,5.261,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,17.786,"N/A","N/A","N/A","N/A",106.87,1.178,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,18.839,"N/A","N/A","N/A","N/A",114.81,-1.639,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,19.991,"N/A","N/A","N/A","N/A",120.92,-6.323,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,21.259,"N/A","N/A","N/A","N/A",130.08,-23.252,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,22.585,"N/A","N/A","N/A","N/A",138.02,-4.111,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,23.502,"N/A","N/A","N/A","N/A",145.34,-5.309,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,24.322,"N/A","N/A","N/A","N/A",150.23,-9.104,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,25.395,"N/A","N/A","N/A","N/A",158.17,-15.719,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,26.546,"N/A","N/A","N/A","N/A",166.11,-1.193,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,27.619,"N/A","N/A","N/A","N/A",173.44,-0.438,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,28.594,"N/A","N/A","N/A","N/A",177.10,0.212,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,29.667,"N/A","N/A","N/A","N/A",181.98,3.191,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,30.409,"N/A","N/A","N/A","N/A",188.09,-10.071,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,31.443,"N/A","N/A","N/A","N/A",192.98,-10.636,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,32.496,"N/A","N/A","N/A","N/A",201.53,-11.802,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,33.589,"N/A","N/A","N/A","N/A",206.41,0.798,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,34.545,"N/A","N/A","N/A","N/A",210.69,1.447,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,35.579,"N/A","N/A","N/A","N/A",218.02,0.702,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,36.730,"N/A","N/A","N/A","N/A",223.51,-0.264,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,37.725,"N/A","N/A","N/A","N/A",230.23,-0.578,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,38.681,"N/A","N/A","N/A","N/A",235.11,-0.781,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
"Point","cmp3_ref","Lineset\line15",4,39.344,"N/A","N/A","N/A","N/A",241.83,-4.254,"N/A",N/A,N/A,N/A,N/A,N/A,N/A,""
